vehicle,level_1,datetime,speed,x,y,heading,vehicletype,time_interval,distance,heading_interval,trip,ts
50LD10158,9,2018-04-27 04:01:58,3.0,106.666016,10.767235,236.52483193182647,200,12,17.058633092517407,1.1786238838664644,11,1524801718
50LD10158,10,2018-04-27 04:02:22,4.0,106.665886,10.76715,242.22239088535883,200,24,11.869445304789062,5.697558953532365,11,1524801742
50LD10158,11,2018-04-27 04:02:28,4.0,106.66579,10.7671,236.17735806879907,200,6,21.08094245920502,6.045032816559768,11,1524801748
50LD10158,12,2018-04-27 04:02:46,1.0,106.66563,10.766994,252.06689079785306,200,18,5.744331947099592,15.889532729053997,11,1524801766
50LD10158,13,2018-04-27 04:02:52,1.0,106.66558,10.766978,245.46290579179538,200,6,17.311227781323964,6.603985006057684,11,1524801772
50LD10158,14,2018-04-27 04:03:04,2.0,106.665436,10.766913,238.28218089512407,200,12,4.63133897816351,7.1807248966713075,11,1524801784
50LD10158,15,2018-04-27 04:03:10,1.0,106.6654,10.766891,233.4374970309557,200,6,8.178972909315315,4.84468386416836,11,1524801790
50LD10158,16,2018-04-27 04:03:16,6.0,106.66534,10.766847,240.1832655031276,200,6,18.91616809443131,6.745768472171875,11,1524801796
50LD10158,17,2018-04-27 04:03:22,9.0,106.66519,10.766762,242.3428294329329,200,6,13.585258715596126,2.1595639298053015,11,1524801802
50LD10158,18,2018-04-27 04:03:28,9.0,106.66508,10.766705,243.22753607310068,200,6,54.519440472245336,0.8847066401677921,11,1524801808
50LD10158,19,2018-04-27 04:03:40,13.0,106.664635,10.766483,239.79473231370122,200,12,25.954580269502713,3.4328037593994623,11,1524801820
50LD10158,20,2018-04-27 04:04:16,9.0,106.66443,10.766365,239.79473231370122,200,36,15.841885334975641,3.78362368866172,11,1524801856
50LD10158,0,2018-04-27 09:46:05,35.0,106.669846,10.769134,64.31388497060702,200,12,74.51707560309363,2.9089220366115427,12,1524822365
50LD10158,1,2018-04-27 09:46:17,6.0,106.67046,10.769426,64.97789043337846,200,12,15.689906910107135,0.664005462771442,12,1524822377
50LD10158,2,2018-04-27 09:46:47,8.0,106.67059,10.769486,61.615375375120166,200,30,43.521436275657216,3.362515058258296,12,1524822407
50LD10158,3,2018-04-27 09:46:59,13.0,106.67094,10.769673,58.30642009325635,200,12,48.87297059764193,3.308955281863817,12,1524822419
50LD10158,4,2018-04-27 09:47:11,18.0,106.67132,10.769905,58.30642009325635,200,12,52.85992533703594,19.8125867636599,12,1524822431
50LD10181,0,2018-04-27 09:08:19,5.4,106.671,10.769807,242.59870664295494,200,6,98.07609103178102,1.2397309994562988,13,1524820099
50LD10181,1,2018-04-27 09:08:50,16.08,106.670204,10.769399,244.38665785940412,200,31,18.67844076895413,1.787951216449187,13,1524820130
50LD10181,2,2018-04-27 09:08:58,12.0,106.67005,10.769326,238.5155184344069,200,8,23.098022536122876,5.87113942499721,13,1524820138
50LD10181,3,2018-04-27 09:09:06,10.827,106.66987,10.769217,223.50789367671774,200,8,3.8211157369167212,15.007624757689172,13,1524820146
50LD10181,4,2018-04-27 09:09:08,7.273,106.669846,10.769192,223.50789367671774,200,2,13.468030577036409,7.80953999221947,13,1524820148
50LD10181,0,2018-04-27 10:08:37,21.339,106.67208,10.770371,70.50736382794021,200,65,4.638481553681143,9.516916569610814,14,1524823717
50LD10181,1,2018-04-27 10:08:39,7.059,106.67212,10.770385,46.65214606126795,200,2,4.520282240961247,23.85521776667226,14,1524823719
50LD10181,2,2018-04-27 10:08:43,3.582,106.67215,10.770413,63.83837835342078,200,4,8.530106552841938,17.18623229215283,14,1524823723
50LD10181,3,2018-04-27 10:08:46,10.8,106.67222,10.770447,56.77630288641909,200,3,13.737872552718233,7.062075467001691,14,1524823726
50LD10181,4,2018-04-27 10:08:49,16.8,106.672325,10.770515,56.77630288641909,200,3,34.52297351745885,3.8580432217282095,14,1524823729
50LD10181,0,2018-04-27 11:18:37,5.455,106.665535,10.766862,242.18134433287133,200,87,14.224046322654095,1.5330840250480833,15,1524827917
50LD10181,1,2018-04-27 11:18:43,8.4,106.66542,10.766802,250.96324528888266,200,6,39.31681693917797,8.781900956011327,15,1524827923
50LD10181,2,2018-04-27 11:19:19,3.212,106.66508,10.766686,237.3287169135701,200,36,57.20713092778688,13.634528375312556,15,1524827959
50LD10181,3,2018-04-27 11:19:34,13.6,106.66464,10.766407,231.02464204645105,200,15,5.635041691939914,6.304074867119056,15,1524827974
50LD10181,4,2018-04-27 11:19:37,7.2,106.6646,10.766375,243.83870186716956,200,3,8.530199203359146,12.814059820718512,15,1524827977
50LD10181,5,2018-04-27 11:19:43,5.4,106.66453,10.766341,243.83870186716956,200,6,28.573471548712888,6.416565899110395,15,1524827983
50LD10191,0,2018-04-27 09:34:34,10.2,106.671974,10.770244,249.14821162356637,200,85,18.016287301464267,16.081366991088856,16,1524821674
50LD10191,1,2018-04-27 09:34:43,6.0,106.67182,10.770186,241.65810347686343,200,9,13.051102549034454,7.490108146702937,16,1524821683
50LD10191,2,2018-04-27 09:34:49,7.8,106.671715,10.77013,253.88292970531234,200,6,3.98168905121831,12.224826228448904,16,1524821689
50LD10191,3,2018-04-27 09:34:52,6.0,106.67168,10.77012,256.722126301387,200,3,6.7365206777877695,2.8391965960746575,16,1524821692
50LD10191,4,2018-04-27 09:34:55,7.2,106.67162,10.770106,256.722126301387,200,3,38.92165578956502,8.747451359729837,16,1524821695
